[INFO][2017-07-03 10:22:18,459][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/j
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/j/geonames-importer
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/j/hapi-auth-bearer
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/j/JRDNFormHandlerBundle
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/j/dialogable
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/j/symfony-docs
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/symfony/symfony-docs
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/j/AsseticBundle
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/symfony/assetic-bundle
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/josuelopezv/aDrums
[DEBUG][2017-07-03 10:22:18,459][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/z
[DEBUG][2017-07-03 10:22:18,866][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:18,866][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/w
[INFO][2017-07-03 10:22:18,866][us.codecraft.webmagic.Spider]page status code error, page https://github.com/w , code: 404
[DEBUG][2017-07-03 10:22:18,882][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:18,882][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/a
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/A/largescaleJS_ru
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/A/code-screenshots
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/A/textr
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/A/superagent-mocker
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/A/es6-class-mixin
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/N
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/y
[DEBUG][2017-07-03 10:22:18,899][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/A
[DEBUG][2017-07-03 10:22:19,227][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:19,227][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/s
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/s/Harnosand
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/s/CoreMLDemo
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/s/preprocessor
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/s/SwiftBot
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/s/5Artists
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/s/TimeEffectInSentimentAnalysis
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/CocoaHeadsNL/CocoaHeadsNL-iOS
[DEBUG][2017-07-03 10:22:19,243][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/C
[DEBUG][2017-07-03 10:22:19,274][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:19,274][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/contact/dmca
[DEBUG][2017-07-03 10:22:19,321][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/contact/dmca-notice
[DEBUG][2017-07-03 10:22:19,321][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/contact/dmca-counter-notice
[DEBUG][2017-07-03 10:22:20,031][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:20,031][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/contact/privacy
[DEBUG][2017-07-03 10:22:20,402][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:20,403][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/business/customers
[DEBUG][2017-07-03 10:22:20,429][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/business/security
[DEBUG][2017-07-03 10:22:20,502][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:20,506][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/about/careers
[DEBUG][2017-07-03 10:22:20,511][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/about/diversity
[DEBUG][2017-07-03 10:22:21,046][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:21,046][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/o
